numNodes,maxDelayTime,createEdgeThreshold,edgeWeightMax,correctness,standardDeviation
4,6,1,15,0,0.682836
4,6,1,20,0,0.783933
4,6,3,5,0,0.989998
4,6,3,10,1,1.199933
4,6,3,15,1,1.506933
4,6,3,20,2,1.721856
4,6,5,5,1,1.360136
4,6,5,10,2,1.726222
4,6,5,15,3,2.261905
4,6,5,20,5,2.990545
4,6,7,5,2,1.68303
4,6,7,10,4,2.258542
4,6,7,15,6,3.225737
4,6,7,20,9,4.898624
4,6,9,5,3,1.914666
4,6,9,10,5,2.765103
4,6,9,15,10,4.840976
4,6,9,20,20,8.603372
5,6,1,5,0,0.468507
5,6,1,10,0,0.546328
5,6,1,15,0,0.628888
5,6,1,20,0,0.724517
5,6,3,5,0,1.012394
5,6,3,10,1,1.240741
5,6,3,15,1,1.419481
5,6,3,20,2,1.829814
5,6,5,5,1,1.303869
5,6,5,10,2,1.703776
5,6,5,15,3,2.206772
5,6,5,20,5,2.932866
5,6,7,5,2,1.64467
5,6,7,10,4,2.185949
5,6,7,15,6,3.209333
5,6,7,20,10,5.508731
5,6,9,5,3,1.87001
5,6,9,10,5,2.748911
5,6,9,15,10,4.978263
5,6,9,20,24,10.927227
6,6,1,5,0,0.461898
6,6,1,10,0,0.603108
6,6,1,15,0,0.64453
6,6,1,20,0,0.713148
6,6,3,5,0,0.979485
6,6,3,10,1,1.222864
6,6,3,15,1,1.425465
6,6,3,20,2,1.735374
6,6,5,5,1,1.267668
6,6,5,10,2,1.721721
6,6,5,15,3,2.245889
6,6,5,20,5,2.979069
6,6,7,5,2,1.600781
6,6,7,10,4,2.243049
6,6,7,15,6,3.229603
6,6,7,20,11,6.237552
6,6,9,5,3,1.887165
6,6,9,10,5,2.812701
6,6,9,15,10,5.170339
6,6,9,20,29,13.744148
7,6,1,5,0,0.503585
7,6,1,10,0,0.588491
7,6,1,15,0,0.672738
7,6,1,20,0,0.787632
7,6,3,5,0,1.030037
7,6,3,10,1,1.232511
7,6,3,15,1,1.428972
7,6,3,20,2,1.763012
7,6,5,5,1,1.331981
7,6,5,10,2,1.751789
7,6,5,15,3,2.166817
7,6,5,20,5,3.034785
7,6,7,5,2,1.624378
7,6,7,10,4,2.212041
7,6,7,15,6,3.243007
7,6,7,20,11,6.970155
7,6,9,5,3,1.909366
7,6,9,10,5,2.82353
7,6,9,15,10,5.153019
7,6,9,20,33,16.65822
8,6,1,5,0,0.479563
8,6,1,10,0,0.526357
8,6,1,15,0,0.68269
8,6,1,20,0,0.79502
8,6,3,5,0,1.032562
8,6,3,10,1,1.193241
8,6,3,15,1,1.451516
8,6,3,20,2,1.711845
8,6,5,5,1,1.32885
8,6,5,10,2,1.742705
8,6,5,15,3,2.169904
8,6,5,20,5,3.045678
8,6,7,5,2,1.609203
8,6,7,10,3,2.243672
8,6,7,15,6,3.367973
8,6,7,20,11,7.987432
8,6,9,5,3,1.921368
8,6,9,10,6,2.804972
8,6,9,15,11,5.542859
8,6,9,20,36,19.337618
3,7,1,5,0,0.765563
3,7,1,10,0,0.843689
3,7,1,15,0,0.9835
3,7,1,20,0,1.215258
